street_number,route,locality-political,administrative_area_level_2-political,administrative_area_level_1-political,country-political,postal_code,address,longitude,latitude,neighborhood-political,postal_code_suffix,establishment-point_of_interest-transit_station,establishment-park-point_of_interest,premise,establishment-point_of_interest-subway_station-transit_station,airport-establishment-finance-moving_company-point_of_interest-storage,subpremise,bus_station-establishment-point_of_interest-transit_station,establishment-park-point_of_interest-tourist_attraction,establishment-natural_feature,airport-establishment-point_of_interest,political-sublocality-sublocality_level_1,administrative_area_level_3-political,post_box,establishment-light_rail_station-point_of_interest-transit_station,establishment-point_of_interest,aquarium-establishment-park-point_of_interest-tourist_attraction-zoo,campground-establishment-lodging-park-point_of_interest-rv_park-tourist_attraction,cemetery-establishment-park-point_of_interest
3130,Grizzly Peak Boulevard,Berkeley,Alameda County,California,United States,94705,"3130 Grizzly Peak Blvd, Berkeley, CA 94705, USA",-122.23,37.88,,,,,,,,,,,,,,,,,,,,
2005,Tunnel Road,Oakland,Alameda County,California,United States,94611,"2005 Tunnel Rd, Oakland, CA 94611, USA",-122.22,37.86,Merriewood,1021,,,,,,,,,,,,,,,,,,
6886,Chabot Road,Oakland,Alameda County,California,United States,94618,"6886 Chabot Rd, Oakland, CA 94618, USA",-122.24,37.85,Upper Rockridge,,,,,,,,,,,,,,,,,,,
6365,Florio Street,Oakland,Alameda County,California,United States,94618,"6365 Florio St, Oakland, CA 94618, USA",-122.25,37.85,Rockridge,1335,,,,,,,,,,,,,,,,,,
5407,Bryant Avenue,Oakland,Alameda County,California,United States,94618,"5407 Bryant Ave, Oakland, CA 94618, USA",-122.25,37.84,Rockridge,1431,,,,,,,,,,,,,,,,,,
5321,Claremont Avenue,Oakland,Alameda County,California,United States,94618,"5321 Claremont Ave, Oakland, CA 94618, USA",-122.26,37.84,Shafter,1034,,,,,,,,,,,,,,,,,,
6398,Telegraph Avenue,Oakland,Alameda County,California,United States,94609,"6398 Telegraph Ave, Oakland, CA 94609, USA",-122.26,37.85,Upper Telegraph,1343,,,,,,,,,,,,,,,,,,
1889,Harmon Street,Berkeley,Alameda County,California,United States,94703,"1889 Harmon St, Berkeley, CA 94703, USA",-122.27,37.85,Upper Telegraph,2415,,,,,,,,,,,,,,,,,,
812,55th Street,Oakland,Alameda County,California,United States,94608,"812 55th St, Oakland, CA 94608, USA",-122.27,37.84,,,,,,,,,,,,,,,,,,,,
1408,66th Street,Berkeley,Alameda County,California,United States,94702,"1408 66th St, Berkeley, CA 94702, USA",-122.28,37.85,Southwest Berkeley,2703,,,,,,,,,,,,,,,,,,
5630,Gaskill Street,Oakland,Alameda County,California,United States,94608,"5630 Gaskill St, Oakland, CA 94608, USA",-122.28,37.84,Gaskill,2714,,,,,,,,,,,,,,,,,,
736,40th Street,Oakland,Alameda County,California,United States,94609,"736 40th St, Oakland, CA 94609, USA",-122.27,37.83,Longfellow,,,,,,,,,,,,,,,,,,,
3889,California 123,Emeryville,Alameda County,California,United States,94608,"3889 CA-123, Emeryville, CA 94608, USA",-122.28,37.83,,3808,,,,,,,,,,,,,,,,,,
4130,Webster Street,Oakland,Alameda County,California,United States,94609,"4130 Webster St, Oakland, CA 94609, USA",-122.26,37.83,Temescal,2570,,,,,,,,,,,,,,,,,,
3026,Martin Luther King Junior Way,Oakland,Alameda County,California,United States,94609,"3026 Martin Luther King Jr Way, Oakland, CA 94609, USA",-122.27,37.82,Hoover - Foster,2927,,,,,,,,,,,,,,,,,,
45,Randwick Avenue,Oakland,Alameda County,California,United States,94611,"45 Randwick Ave, Oakland, CA 94611, USA",-122.26,37.82,Oakland Ave - Harrison St,,,,,,,,,,,,,,,,,,,
2802,Linden Street,Oakland,Alameda County,California,United States,94608,"2802 Linden St, Oakland, CA 94608, USA",-122.28,37.82,McClymonds,,,,,,,,,,,,,,,,,,,
2430,Willow Street,Oakland,Alameda County,California,United States,94607,"2430 Willow St, Oakland, CA 94607, USA",-122.29,37.82,Prescott,1711,,,,,,,,,,,,,,,,,,
4080,Halleck Street,Oakland,Alameda County,California,United States,94608,"4080 Halleck St, Oakland, CA 94608, USA",-122.29,37.83,,,,,,,,,,,,,,,,,,,,
1312,Kirkham Court,Oakland,Alameda County,California,United States,94607,"1312 Kirkham Ct, Oakland, CA 94607, USA",-122.29,37.81,Oak Center,2257,,,,,,,,,,,,,,,,,,
1737,10th Street,Oakland,Alameda County,California,United States,94607,"1737 10th St, Oakland, CA 94607, USA",-122.3,37.81,Prescott,1408,,,,,,,,,,,,,,,,,,
163,Adeline Street,Oakland,Alameda County,California,United States,94607,"163 Adeline St, Oakland, CA 94607, USA",-122.29,37.8,Acorn Industrial,,,,,,,,,,,,,,,,,,,
,,Oakland,Alameda County,California,United States,94607,"Market St:16th St, Oakland, CA 94607, USA",-122.28,37.81,Oak Center,,Market St:16th St,,,,,,,,,,,,,,,,,
431,Martin Luther King Junior Way,Oakland,Alameda County,California,United States,94607,"431 Martin Luther King Jr Way, Oakland, CA 94607, USA",-122.28,37.8,Produce and Waterfront,3535,,,,,,,,,,,,,,,,,,
520,20th Street,Oakland,Alameda County,California,United States,94612,"520 20th St, Oakland, CA 94612, USA",-122.27,37.81,Downtown Oakland,1602,,,,,,,,,,,,,,,,,,
321,10th Street,Oakland,Alameda County,California,United States,94607,"321 10th St, Oakland, CA 94607, USA",-122.27,37.8,Downtown Oakland,,,,,,,,,,,,,,,,,,,
15,Embarcadero West,Oakland,Alameda County,California,United States,94607,"15 Embarcadero West, Oakland, CA 94607, USA",-122.27,37.79,,4503,,,,,,,,,,,,,,,,,,
,Lake Merritt Boulevard,Oakland,Alameda County,California,United States,94612,"Between 12th Street and 1st Ave., Lake Merritt Blvd, Oakland, CA 94612, USA",-122.26,37.8,Downtown Oakland,,,,,,,,,,,,,,,,,,,
,,Oakland,Alameda County,California,United States,94610,"Grand Av:Bellevue Av, Oakland, CA 94610, USA",-122.26,37.81,,,Grand Av:Bellevue Av,,,,,,,,,,,,,,,,,
431,Lagunitas Avenue,Oakland,Alameda County,California,United States,94610,"431 Lagunitas Ave, Oakland, CA 94610, USA",-122.25,37.81,Cleveland Heights,3559,,,,,,,,,,,,,,,,,,
114,Magnolia Avenue,Piedmont,Alameda County,California,United States,94610,"114 Magnolia Ave, Piedmont, CA 94610, USA",-122.24,37.82,,1032,,,,,,,,,,,,,,,,,,
690,Longridge Road,Oakland,Alameda County,California,United States,94610,"690 Longridge Rd, Oakland, CA 94610, USA",-122.24,37.81,Trestle Glen,2327,,,,,,,,,,,,,,,,,,
615,Mariposa Avenue,Oakland,Alameda County,California,United States,94610,"615 Mariposa Ave, Oakland, CA 94610, USA",-122.25,37.82,Grand Lake,1312,,,,,,,,,,,,,,,,,,
190,John Street,Oakland,Alameda County,California,United States,94611,"190 John St, Oakland, CA 94611, USA",-122.25,37.83,Piedmont Avenue,4735,,,,,,,,,,,,,,,,,,
241,Florence Avenue,Oakland,Alameda County,California,United States,94618,"241 Florence Ave, Oakland, CA 94618, USA",-122.23,37.84,Upper Rockridge,2250,,,,,,,,,,,,,,,,,,
161,Ronada Avenue,Piedmont,Alameda County,California,United States,94611,"161 Ronada Ave, Piedmont, CA 94611, USA",-122.24,37.83,,3911,,,,,,,,,,,,,,,,,,
,California 13,Oakland,Alameda County,California,United States,94618,"CA-13, Oakland, CA 94618, USA",-122.23,37.85,Hiller Highlands,,,,,,,,,,,,,,,,,,,
5672,Broadway Terrace,Oakland,Alameda County,California,United States,94618,"5672 Broadway Terrace, Oakland, CA 94618, USA",-122.24,37.84,Upper Rockridge,1712,,,,,,,,,,,,,,,,,,
6900,Broadway,Oakland,Alameda County,California,United States,94611,"North Oakland Regional Sports Center, 6900 Broadway, Oakland, CA 94611, USA",-122.22,37.85,Merriewood,,,North Oakland Regional Sports Center,,,,,,,,,,,,,,,,
6925,Broadway Terrace,Oakland,Alameda County,California,United States,94611,"6925 Broadway Terrace, Oakland, CA 94611, USA",-122.22,37.84,Glen Highlands,1923,,,,,,,,,,,,,,,,,,
6131,Thornhill Drive,Oakland,Alameda County,California,United States,94611,"6131 Thornhill Dr, Oakland, CA 94611, USA",-122.21,37.84,Merriewood,2021,,,,,,,,,,,,,,,,,,
5628,Colton Boulevard,Oakland,Alameda County,California,United States,94611,"5628 Colton Blvd, Oakland, CA 94611, USA",-122.21,37.83,Montclair,2252,,,,,,,,,,,,,,,,,,
6519,Oakwood Drive,Oakland,Alameda County,California,United States,94611,"6519 Oakwood Dr, Oakland, CA 94611, USA",-122.2,37.84,Forestland,1113,,,,,,,,,,,,,,,,,,
2112,Manzanita Drive,Oakland,Contra Costa County,California,United States,94611,"2112 Manzanita Dr, Oakland, CA 94611, USA",-122.19,37.84,,1140,,,,,,,,,,,,,,,,,,
6228,Elderberry Drive,Oakland,Alameda County,California,United States,94611,"6228 Elderberry Dr, Oakland, CA 94611, USA",-122.19,37.83,Piedmont Pines,1622,,,,,,,,,,,,,,,,,,
5912,Balboa Drive,Oakland,Alameda County,California,United States,94611,"5912 Balboa Dr, Oakland, CA 94611, USA",-122.2,37.83,Montclair,2319,,,,,,,,,,,,,,,,,,
3082,Holyrood Drive,Oakland,Alameda County,California,United States,94611,"3082 Holyrood Dr, Oakland, CA 94611, USA",-122.19,37.82,Piedmont Pines,2542,,,,,,,,,,,,,,,,,,
2588,Scout Road,Oakland,Alameda County,California,United States,94611,"2588 Scout Rd, Oakland, CA 94611, USA",-122.2,37.82,Piedmont Pines,,,,,,,,,,,,,,,,,,,
,,Oakland,Alameda County,California,United States,94611,"Joaquin Miller Rd:Crockett Pl, Oakland, CA 94611, USA",-122.18,37.81,Joaquin Miller Park,,Joaquin Miller Rd:Crockett Pl,,,,,,,,,,,,,,,,,
282,Somerset Drive,Oakland,Alameda County,California,United States,94611,"282 Somerset Dr, Oakland, CA 94611, USA",-122.21,37.82,Montclair,,,,,,,,,,,,,,,,,,,
4700,Lincoln Avenue,Oakland,Alameda County,California,United States,94602,"4700 Lincoln Ave, Oakland, CA 94602, USA",-122.2,37.81,Lincoln Highlands,2535,,,,,,,,,,,,,,,,,,
3563,Laguna Avenue,Oakland,Alameda County,California,United States,94602,"3563 Laguna Ave, Oakland, CA 94602, USA",-122.21,37.8,Upper Dimond,2903,,,,,,,,,,,,,,,,,,
4162,Lyman Road,Oakland,Alameda County,California,United States,94602,"4162 Lyman Rd, Oakland, CA 94602, USA",-122.21,37.81,Oakmore,1810,,,,,,,,,,,,,,,,,,
1135,Glendora Avenue,Oakland,Alameda County,California,United States,94602,"1135 Glendora Ave, Oakland, CA 94602, USA",-122.22,37.81,Glenview,1418,,,,,,,,,,,,,,,,,,
3459,Morrison Avenue,Oakland,Alameda County,California,United States,94602,"3459 Morrison Ave, Oakland, CA 94602, USA",-122.22,37.8,Glenview,1717,,,,,,,,,,,,,,,,,,
1444,East 32nd Street,Oakland,Alameda County,California,United States,94602,"1444 E 32nd St, Oakland, CA 94602, USA",-122.23,37.8,Lynn,1025,,,,,,,,,,,,,,,,,,
1021,Longridge Road,Oakland,Alameda County,California,United States,94610,"1021 Longridge Rd, Oakland, CA 94610, USA",-122.23,37.81,Trestle Glen,2441,,,,,,,,,,,,,,,,,,
2514,9th Avenue,Oakland,Alameda County,California,United States,94606,"2514 9th Ave, Oakland, CA 94606, USA",-122.24,37.8,Bella Vista,2126,,,,,,,,,,,,,,,,,,
1901,Park Boulevard,Oakland,Alameda County,California,United States,94606,"1901 Park Blvd, Oakland, CA 94606, USA",-122.25,37.8,Ivy Hill,1825,,,,,,,,,,,,,,,,,,
1706,18th Avenue,Oakland,Alameda County,California,United States,94606,"1706 18th Ave, Oakland, CA 94606, USA",-122.24,37.79,San Antonio,,,,,,,,,,,,,,,,,,,
1126,East 11th Street,Oakland,Alameda County,California,United States,94606,"1126 E 11th St, Oakland, CA 94606, USA",-122.25,37.79,East Peralta,,,,,,,,,,,,,,,,,,,
2246,23rd Avenue,Oakland,Alameda County,California,United States,94606,"2246 23rd Ave, Oakland, CA 94606, USA",-122.23,37.79,Meadow Brook,,,,,,,,,,,,,,,,,,,
850,42nd Avenue,Oakland,Alameda County,California,United States,94601,"850 42nd Ave, Oakland, CA 94601, USA",-122.22,37.77,Fruitvale,,,,,,,,,,,,,,,,,,,
400,Lancaster Street,Oakland,Alameda County,California,United States,94601,"400 Lancaster St, Oakland, CA 94601, USA",-122.23,37.77,Fruitvale,2827,,,,,,,,,,,,,,,,,,
2766,International Boulevard,Oakland,Alameda County,California,United States,94601,"2766 International Blvd, Oakland, CA 94601, USA",-122.23,37.78,Oak Tree,1519,,,,,,,,,,,,,,,,,,
1664,35th Avenue,Oakland,Alameda County,California,United States,94601,"1664 35th Ave, Oakland, CA 94601, USA",-122.22,37.78,Saint Elizabeth,3614,,,,,,,,,,,,,,,,,,
2662,Fruitvale Avenue,Oakland,Alameda County,California,United States,94601,"2662 Fruitvale Ave, Oakland, CA 94601, USA",-122.22,37.79,Patten,2033,,,,,,,,,,,,,,,,,,
2634,Humboldt Avenue,Oakland,Alameda County,California,United States,94602,"2634 Humboldt Ave, Oakland, CA 94602, USA",-122.21,37.79,Bartlett,3616,,,,,,,,,,,,,,,,,,
3835,Quigley Street,Oakland,Alameda County,California,United States,94619,"3835 Quigley St, Oakland, CA 94619, USA",-122.2,37.79,Laurel,1319,,,,,,,,,,,,,,,,,,
3107,Sylvan Avenue,Oakland,Alameda County,California,United States,94602,"3107 Sylvan Ave, Oakland, CA 94602, USA",-122.2,37.8,Upper Dimond,3955,,,,,,,,,,,,,,,,,,
3548,Monterey Boulevard,Oakland,Alameda County,California,United States,94619,"3548 Monterey Blvd, Oakland, CA 94619, USA",-122.19,37.8,Redwood Heights,1607,,,,,,,,,,,,,,,,,,
